Layer #,Layer Name,Main Type,Sub Type,Component / Mechanism,Goal,Evidence / Telemetry
7,Resilience & Availability,Traffic Protection,Circuit Breakers / Bulkheads / Rate Shaping,"Trip breaker on slow dependency, isolate noisy tenants, shed load gracefully","Protect core systems during incidents","Breaker open/close timeline, shed %"
7,Resilience & Availability,Graceful Degradation,Feature Flags / Read-only Mode,"Serve cached data when DB down, put system into withdraw-disabled mode instead of full outage","Keep partial service alive","Time spent in degraded mode vs full outage"
7,Resilience & Availability,Disaster Recovery,DR Playbook & Chaos Testing,"Regular chaos drills, region evacuation practice, RPO/RTO tracking","Know we can recover under stress","Chaos test reports, RTO achieved"

8,Observability & Detection,Telemetry,Basic Monitoring/Logging/Tracing,"Centralized logs, metrics, traces, span IDs across hops","See attacks and failures fast","p95 latency, error rate, auth failures over time"
8,Observability & Detection,Security Detection,SIEM / IDS / Anomaly Alerts,"Login anomaly detection, data exfil alerts, container breakout alerts","Catch intrusion quickly","Mean time to detect (MTTD)"
8,Observability & Detection,Forensics & Evidence,Immutable Audit Logs,"Append-only audit trail for admin actions, config changes, withdrawals, policy edits","Prove who did what and when","Audit log integrity check, tamper alerts"
8,Observability & Detection,Incident Response,Runbooks & Pager,"Who wakes up, what they do, communication path, rollback steps","Shorten incident lifetime","Mean time to recover (MTTR), postmortem quality"

9,Software Supply Chain,Artifact Integrity,Build Signing / Provenance,"Sigstore/cosign signed container images, SBOM attached to artifact","Ensure what runs = what we built","Unsigned image block count"
9,Software Supply Chain,Dependency Trust,SCA / Pin / Verify,"Pin versions via lockfiles, verify checksums, disallow typosquat packages","Stop malicious libs","Unapproved dependency install attempts"
9,Software Supply Chain,CI/CD Gatekeeping,Policy-as-Code in Pipeline,"CI enforces tests, security scans, lint, license policy before deploy","Block unsafe code from production","% builds blocked by policy gate"
9,Software Supply Chain,Runtime Drift Control,Image Drift / Host Drift,"Continuously check what's running vs approved manifest","Detect sneaky containers","Drift incidents per week"
